img_id,version,ambiguous,r_id,directory,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawOpen,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthPucker,noseSneerLeft,noseSneerRight,cheekSquintLeft,cheekSquintRight
10_fear,b,False,mediapipe,Modified_images,0.0001,0.0001,0.8636,0.6767,0.4355,0.0619,0.0305,0.0608,0.1211,0.0881,0.0023,0.0026,0.1538,0.1479,0.0031,0.0,0.0,0.0,0.0
10_fear,g,False,mediapipe,Modified_images,0.0001,0.0001,0.8321,0.4878,0.2738,0.0459,0.0275,0.1262,0.2729,0.0788,0.0006,0.0007,0.2488,0.2529,0.0085,0.0,0.0,0.0,0.0
10_fear,l,False,mediapipe,Modified_images,0.0001,0.0002,0.7535,0.5429,0.2964,0.11,0.0611,0.0376,0.0805,0.0171,0.0024,0.0036,0.1155,0.1021,0.001,0.0,0.0,0.0,0.0
10_fear,o,False,mediapipe,Modified_images,0.0001,0.0001,0.8425,0.4979,0.2728,0.0445,0.0331,0.1178,0.2278,0.0809,0.0009,0.0008,0.266,0.2787,0.008,0.0,0.0,0.0,0.0
11_happy,b,False,mediapipe,Modified_images,0.0461,0.0461,0.1519,0.0447,0.0304,0.4963,0.5182,0.0026,0.0019,0.0136,0.7987,0.8485,0.0207,0.0131,0.0156,0.0,0.0,0.0,0.0
11_happy,g,False,mediapipe,Modified_images,0.0393,0.0426,0.1021,0.0612,0.0374,0.5511,0.5034,0.0031,0.003,0.0152,0.814,0.8389,0.0144,0.01,0.0084,0.0,0.0,0.0,0.0
11_happy,l,False,mediapipe,Modified_images,0.0239,0.0454,0.1656,0.0398,0.022,0.4187,0.5263,0.005,0.0063,0.0129,0.7522,0.7761,0.1157,0.1026,0.0075,0.0,0.0,0.0,0.0
11_happy,o,False,mediapipe,Modified_images,0.0445,0.047,0.0883,0.0524,0.0342,0.5533,0.5604,0.0033,0.003,0.0131,0.7947,0.8328,0.0238,0.0158,0.0063,0.0,0.0,0.0,0.0
12_neutral,b,True,mediapipe,Modified_images,0.0047,0.0027,0.0328,0.4503,0.3988,0.2466,0.2564,0.0036,0.0027,0.0005,0.0004,0.0002,0.0013,0.002,0.3029,0.0,0.0,0.0,0.0
12_neutral,g,True,mediapipe,Modified_images,0.0074,0.006,0.0245,0.3541,0.2544,0.2776,0.3031,0.0035,0.0028,0.0003,0.0012,0.0007,0.0038,0.0058,0.2328,0.0,0.0,0.0,0.0
12_neutral,l,True,mediapipe,Modified_images,0.0081,0.006,0.0415,0.2563,0.2049,0.3305,0.2879,0.0026,0.0016,0.0002,0.0029,0.0019,0.0032,0.0034,0.1262,0.0,0.0,0.0,0.0
12_neutral,o,True,mediapipe,Modified_images,0.0062,0.0041,0.0404,0.3649,0.3045,0.3097,0.3047,0.003,0.0026,0.0003,0.0007,0.0003,0.0025,0.0045,0.4189,0.0,0.0,0.0,0.0
13_sad,b,False,mediapipe,Modified_images,0.0097,0.0033,0.2147,0.2278,0.2381,0.28,0.1899,0.0049,0.0029,0.0029,0.0,0.0,0.0068,0.0059,0.3761,0.0,0.0,0.0,0.0
13_sad,g,False,mediapipe,Modified_images,0.0019,0.001,0.3289,0.4556,0.3751,0.3197,0.2873,0.0076,0.007,0.001,0.0001,0.0001,0.0145,0.0128,0.4163,0.0,0.0,0.0,0.0
13_sad,l,False,mediapipe,Modified_images,0.0047,0.0026,0.305,0.2906,0.2659,0.307,0.2327,0.0067,0.0056,0.0011,0.0,0.0001,0.0877,0.0558,0.4642,0.0,0.0,0.0,0.0
13_sad,o,False,mediapipe,Modified_images,0.0035,0.0019,0.2019,0.4107,0.3248,0.2676,0.2425,0.0069,0.0055,0.0005,0.0001,0.0001,0.0053,0.0046,0.6622,0.0,0.0,0.0,0.0
14_surprise,b,False,mediapipe,Modified_images,0.0001,0.0,0.6878,0.8989,0.8365,0.0227,0.0049,0.1959,0.1863,0.2372,0.0109,0.0162,0.001,0.0018,0.015,0.0,0.0,0.0,0.0
14_surprise,g,False,mediapipe,Modified_images,0.0001,0.0,0.6217,0.8803,0.7979,0.0212,0.0075,0.2203,0.1823,0.1863,0.0109,0.015,0.001,0.0019,0.0209,0.0,0.0,0.0,0.0
14_surprise,l,False,mediapipe,Modified_images,0.0002,0.0,0.565,0.6918,0.6077,0.0226,0.0064,0.1646,0.2031,0.1186,0.0463,0.0655,0.0166,0.0215,0.0139,0.0,0.0,0.0,0.0
14_surprise,o,False,mediapipe,Modified_images,0.0001,0.0,0.5977,0.843,0.7537,0.0153,0.0041,0.3188,0.2465,0.1842,0.006,0.0092,0.0012,0.0023,0.036,0.0,0.0,0.0,0.0
15_angry,b,True,mediapipe,Modified_images,0.0535,0.0377,0.0012,0.159,0.0925,0.3338,0.1606,0.0111,0.0086,0.0337,0.0,0.0,0.0011,0.001,0.8715,0.0,0.0,0.0,0.0
15_angry,g,True,mediapipe,Modified_images,0.0355,0.0205,0.0028,0.2049,0.1404,0.4958,0.2741,0.0049,0.0041,0.0212,0.0,0.0,0.001,0.001,0.7783,0.0,0.0,0.0,0.0
15_angry,l,True,mediapipe,Modified_images,0.0804,0.0543,0.0113,0.0915,0.0468,0.5014,0.2574,0.0069,0.0057,0.0337,0.0,0.0,0.0006,0.0009,0.953,0.0,0.0,0.0,0.0
15_angry,o,True,mediapipe,Modified_images,0.0329,0.0169,0.0024,0.2327,0.1549,0.4706,0.3092,0.0045,0.0041,0.0206,0.0,0.0,0.0006,0.0006,0.8107,0.0,0.0,0.0,0.0
16_disgust,b,False,mediapipe,Modified_images,0.3666,0.3296,0.0011,0.0058,0.0125,0.3795,0.5013,0.002,0.0024,0.0789,0.1084,0.1164,0.0,0.0,0.0494,0.0,0.0,0.0,0.0
16_disgust,g,False,mediapipe,Modified_images,0.3964,0.2706,0.0008,0.0067,0.0157,0.5521,0.554,0.0042,0.0035,0.1379,0.341,0.2764,0.0,0.0,0.0986,0.0,0.0,0.0,0.0
16_disgust,l,False,mediapipe,Modified_images,0.1296,0.1107,0.0053,0.0199,0.0328,0.4516,0.4396,0.005,0.0086,0.0573,0.2855,0.214,0.0007,0.0007,0.0052,0.0,0.0,0.0,0.0
16_disgust,o,False,mediapipe,Modified_images,0.3901,0.3144,0.0007,0.0062,0.0114,0.5178,0.6067,0.0041,0.0036,0.1753,0.432,0.3806,0.0,0.0,0.1104,0.0,0.0,0.0,0.0
17_fear,b,True,mediapipe,Modified_images,0.063,0.0277,0.0027,0.0707,0.1107,0.1583,0.0444,0.0208,0.0481,0.2543,0.0,0.0,0.0,0.0,0.4672,0.0,0.0,0.0,0.0
17_fear,g,True,mediapipe,Modified_images,0.0271,0.0105,0.0102,0.1325,0.1654,0.1683,0.0389,0.0341,0.0653,0.2853,0.0,0.0,0.0,0.0,0.1219,0.0,0.0,0.0,0.0
17_fear,l,True,mediapipe,Modified_images,0.0367,0.0244,0.0171,0.0636,0.0717,0.4624,0.211,0.0084,0.0203,0.2765,0.0006,0.0003,0.0002,0.0002,0.0052,0.0,0.0,0.0,0.0
17_fear,o,True,mediapipe,Modified_images,0.0574,0.0295,0.006,0.0618,0.091,0.1382,0.0586,0.0308,0.066,0.1956,0.0,0.0,0.0,0.0,0.3078,0.0,0.0,0.0,0.0
18_happy,b,True,mediapipe,Modified_images,0.0507,0.085,0.0094,0.0545,0.0185,0.3074,0.1821,0.0091,0.0027,0.0007,0.1269,0.305,0.0042,0.0037,0.0008,0.0,0.0,0.0,0.0
18_happy,g,True,mediapipe,Modified_images,0.0319,0.0883,0.0069,0.0416,0.0096,0.5504,0.3533,0.0075,0.0018,0.001,0.4364,0.6198,0.0022,0.0014,0.001,0.0,0.0,0.0,0.0
18_happy,l,True,mediapipe,Modified_images,0.026,0.0676,0.0078,0.0964,0.0214,0.3405,0.2112,0.009,0.004,0.0008,0.0432,0.0693,0.0322,0.0492,0.0003,0.0,0.0,0.0,0.0
18_happy,o,True,mediapipe,Modified_images,0.031,0.1071,0.0056,0.0474,0.0087,0.5137,0.3309,0.0063,0.0014,0.0009,0.2961,0.5301,0.0029,0.0019,0.0009,0.0,0.0,0.0,0.0
19_neutral,b,True,mediapipe,Modified_images,0.075,0.0821,0.0042,0.0606,0.024,0.1951,0.1021,0.0423,0.0224,0.008,0.0,0.0,0.0016,0.0017,0.6748,0.0,0.0,0.0,0.0
19_neutral,g,True,mediapipe,Modified_images,0.0422,0.0265,0.0026,0.1043,0.0661,0.347,0.1598,0.0342,0.0186,0.0047,0.0001,0.0001,0.0016,0.0022,0.4673,0.0,0.0,0.0,0.0
19_neutral,l,True,mediapipe,Modified_images,0.0696,0.0621,0.033,0.0937,0.0337,0.2823,0.1336,0.0203,0.0182,0.0035,0.0001,0.0001,0.004,0.0054,0.335,0.0,0.0,0.0,0.0
19_neutral,o,True,mediapipe,Modified_images,0.0459,0.0268,0.0028,0.0979,0.0684,0.3273,0.1513,0.0352,0.0233,0.0047,0.0001,0.0001,0.0018,0.0022,0.4994,0.0,0.0,0.0,0.0
1_angry,b,False,mediapipe,Modified_images,0.3561,0.4951,0.0003,0.0087,0.0021,0.4899,0.351,0.0069,0.0043,0.002,0.0005,0.0005,0.1487,0.1819,0.0685,0.0,0.0,0.0,0.0
1_angry,g,False,mediapipe,Modified_images,0.6025,0.6762,0.0001,0.0019,0.0006,0.6143,0.5366,0.0052,0.0039,0.0016,0.0018,0.0011,0.1348,0.1739,0.0353,0.0,0.0,0.0,0.0
1_angry,l,False,mediapipe,Modified_images,0.4476,0.5918,0.0001,0.0039,0.0009,0.631,0.4548,0.0175,0.0088,0.0016,0.0014,0.0016,0.2738,0.318,0.0162,0.0,0.0,0.0,0.0
1_angry,o,False,mediapipe,Modified_images,0.6735,0.6899,0.0,0.0013,0.0008,0.6178,0.4923,0.0048,0.0041,0.0011,0.0056,0.0032,0.0989,0.1274,0.0242,0.0,0.0,0.0,0.0
20_sad,b,True,mediapipe,Modified_images,0.0018,0.0028,0.125,0.6732,0.3155,0.3509,0.1206,0.014,0.0079,0.0066,0.0,0.0001,0.0078,0.0103,0.5331,0.0,0.0,0.0,0.0
20_sad,g,True,mediapipe,Modified_images,0.0014,0.0021,0.1922,0.7134,0.2944,0.412,0.2364,0.0091,0.005,0.0034,0.0003,0.0005,0.0108,0.0106,0.5572,0.0,0.0,0.0,0.0
20_sad,l,True,mediapipe,Modified_images,0.0008,0.001,0.3434,0.726,0.3722,0.3953,0.1871,0.0127,0.0141,0.0024,0.0004,0.0003,0.0523,0.0888,0.3319,0.0,0.0,0.0,0.0
