img_id,version,ambiguous,angry,disgust,fear,happy,sad,surprise,neutral,n_ratings,version_name,assigned_category,dominant_emotion,entropy,source
10_fear,b,False,0.0,0.11428571428571428,0.4857142857142857,0.0,0.05714285714285714,0.34285714285714286,0.0,2.0,Blur,fear,fear,0.5802969990940127,Humans (version-specific)
10_fear,g,False,0.03225806451612903,0.45161290322580644,0.22580645161290322,0.0,0.0967741935483871,0.1935483870967742,0.0,2.0,Greyscale,fear,disgust,0.6935810079540875,Humans (version-specific)
10_fear,l,False,0.05405405405405406,0.4594594594594595,0.24324324324324326,0.0,0.0,0.24324324324324326,0.0,2.0,Low resolution,fear,disgust,0.6181085811281121,Humans (version-specific)
10_fear,o,False,0.0,0.3125,0.3125,0.0,0.0,0.375,0.0,1.0,Original,fear,surprise,0.5626057434046654,Humans (version-specific)
11_happy,b,False,0.0,0.0,0.043478260869565216,0.8695652173913043,0.043478260869565216,0.043478260869565216,0.0,2.0,Blur,happy,happy,0.2726280195864003,Humans (version-specific)
11_happy,g,False,0.05,0.0,0.0,0.95,0.0,0.0,0.0,2.0,Greyscale,happy,happy,0.10201665449057162,Humans (version-specific)
11_happy,l,False,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,Low resolution,happy,happy,0.3271035759815648,Humans (version-specific)
11_happy,o,False,0.0,0.0,0.0,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.0,2.0,Original,happy,happy,0.2616448371626302,Humans (version-specific)
12_neutral,b,True,0.4166666666666667,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.4583333333333333,2.0,Blur,neutral,neutral,0.5456807844065541,Humans (version-specific)
12_neutral,g,True,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.5555555555555556,1.0,Greyscale,neutral,neutral,0.5113427208664182,Humans (version-specific)
12_neutral,l,True,0.7272727272727273,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,2.0,Low resolution,neutral,angry,0.3903301454302004,Humans (version-specific)
12_neutral,o,True,0.23809523809523808,0.38095238095238093,0.0,0.0,0.0,0.0,0.38095238095238093,2.0,Original,neutral,disgust,0.5534615884383584,Humans (version-specific)
13_sad,b,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Blur,sad,sad,-0.0,Humans (version-specific)
13_sad,g,False,0.0,0.0,0.0,0.0,0.9411764705882353,0.058823529411764705,0.0,2.0,Greyscale,sad,sad,0.11496834844838173,Humans (version-specific)
13_sad,l,False,0.0,0.0,0.2,0.0,0.8,0.0,0.0,2.0,Low resolution,sad,sad,0.25715597597408063,Humans (version-specific)
13_sad,o,False,0.12,0.0,0.0,0.0,0.8,0.0,0.08,2.0,Original,sad,sad,0.3263278919883925,Humans (version-specific)
14_surprise,b,False,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,2.0,Blur,surprise,surprise,0.23154265837250496,Humans (version-specific)
