mediapipe_feature,target,n,pearson_correlation
browDownLeft,human_pooled_reference_angry,139,0.2447560532725461
browDownLeft,human_pooled_reference_disgust,139,0.40869353974133577
browDownLeft,human_pooled_reference_fear,139,-0.18442318775500485
browDownLeft,human_pooled_reference_happy,139,-0.09035904969357209
browDownLeft,human_pooled_reference_sad,139,-0.057530751741452675
browDownLeft,human_pooled_reference_surprise,139,-0.23345605015508164
browDownLeft,human_pooled_reference_neutral,139,-0.12763369991800183
browDownLeft,fer_angry,130,0.5729026758019748
browDownLeft,fer_disgust,130,0.21501269660263556
browDownLeft,fer_fear,130,-0.18034283281087207
browDownLeft,fer_happy,130,-0.10816065274569607
browDownLeft,fer_sad,130,0.03649328641988755
browDownLeft,fer_surprise,130,-0.285530636623811
browDownLeft,fer_neutral,130,-0.2351992238038958
browDownLeft,deepface_angry,140,0.5561771121389042
browDownLeft,deepface_disgust,140,0.19037260702057368
browDownLeft,deepface_fear,140,-0.24385491196149678
browDownLeft,deepface_happy,140,-0.1144409737829629
browDownLeft,deepface_sad,140,0.08081411301207916
browDownLeft,deepface_surprise,140,-0.2107637853314723
browDownLeft,deepface_neutral,140,-0.14463333711597826
browDownLeft,deepface_human_similarity,139,-0.04117572171500923
browDownLeft,fer_human_similarity,130,-0.23987180414840997
browDownRight,human_pooled_reference_angry,139,0.35887425795609784
browDownRight,human_pooled_reference_disgust,139,0.3477711221018434
browDownRight,human_pooled_reference_fear,139,-0.23120669826326115
browDownRight,human_pooled_reference_happy,139,-0.06714973882087368
browDownRight,human_pooled_reference_sad,139,-0.11328433995704132
browDownRight,human_pooled_reference_surprise,139,-0.22590361430163858
browDownRight,human_pooled_reference_neutral,139,-0.13638689570751727
browDownRight,fer_angry,130,0.6531341572762789
browDownRight,fer_disgust,130,0.18634602997679353
browDownRight,fer_fear,130,-0.25617907382795996
browDownRight,fer_happy,130,-0.09431258332831727
browDownRight,fer_sad,130,-0.06139182418511732
browDownRight,fer_surprise,130,-0.2573899452366196
browDownRight,fer_neutral,130,-0.2283984799174975
browDownRight,deepface_angry,140,0.6729416631521579
browDownRight,deepface_disgust,140,0.12889067867068782
browDownRight,deepface_fear,140,-0.2745057958405167
browDownRight,deepface_happy,140,-0.12497980908147005
browDownRight,deepface_sad,140,-0.0727854280415537
browDownRight,deepface_surprise,140,-0.20826823572399725
browDownRight,deepface_neutral,140,-0.08760368040831244
browDownRight,deepface_human_similarity,139,0.0006955448726157533
browDownRight,fer_human_similarity,130,-0.12293044532732289
browInnerUp,human_pooled_reference_angry,139,-0.3587576903173713
browInnerUp,human_pooled_reference_disgust,139,-0.1073531602060552
browInnerUp,human_pooled_reference_fear,139,0.47476479638689756
browInnerUp,human_pooled_reference_happy,139,-0.017954521798870703
browInnerUp,human_pooled_reference_sad,139,-0.10026326940636215
browInnerUp,human_pooled_reference_surprise,139,0.49811890231606726
browInnerUp,human_pooled_reference_neutral,139,-0.19908334648280976
browInnerUp,fer_angry,130,-0.364526167988335
browInnerUp,fer_disgust,130,-0.18350800482737525
browInnerUp,fer_fear,130,0.4567217190815896
browInnerUp,fer_happy,130,0.12951600559659726
browInnerUp,fer_sad,130,-0.2460478830072738
browInnerUp,fer_surprise,130,0.5767746932475566
browInnerUp,fer_neutral,130,-0.3133155975885111
browInnerUp,deepface_angry,140,-0.31117264847487563
browInnerUp,deepface_disgust,140,-0.09449194526719737
browInnerUp,deepface_fear,140,0.3338484939838443
browInnerUp,deepface_happy,140,0.25684473308029804
browInnerUp,deepface_sad,140,-0.13734928348012912
browInnerUp,deepface_surprise,140,0.3218320683919782
browInnerUp,deepface_neutral,140,-0.2958618821004809
browInnerUp,deepface_human_similarity,139,0.11547326465810537
browInnerUp,fer_human_similarity,130,0.14906714125748838
browOuterUpLeft,human_pooled_reference_angry,139,-0.18281191880669742
browOuterUpLeft,human_pooled_reference_disgust,139,-0.050349172673816216
browOuterUpLeft,human_pooled_reference_fear,139,0.21089123071847146
browOuterUpLeft,human_pooled_reference_happy,139,-0.12478986373896349
browOuterUpLeft,human_pooled_reference_sad,139,-0.1917929940471373
browOuterUpLeft,human_pooled_reference_surprise,139,0.5395904225518617
browOuterUpLeft,human_pooled_reference_neutral,139,-0.1530620769640121
